instance,time,encoding,answer,dataset,memory
results/Grid/Ratio_50/50-14-1,,d02,,Grid-50,17476
results/Grid/Ratio_50/50-10-9,0.062,db20,0.479913,Grid-50,18728
results/Grid/Ratio_50/50-16-9,,sbk05,,Grid-50,38524
results/Grid/Ratio_50/50-16-8,,db20,,Grid-50,82324
results/Grid/Ratio_50/50-14-5,,d02,,Grid-50,23532
results/Grid/Ratio_50/50-15-2,,sbk05,,Grid-50,66088
results/Grid/Ratio_50/50-16-7,,sbk05,,Grid-50,45676
results/Grid/Ratio_50/50-18-6,,d02,,Grid-50,18680
results/Grid/Ratio_50/50-12-2,,cd05,,Grid-50,44640
results/Grid/Ratio_50/50-20-5,,db20,,Grid-50,96236
results/Grid/Ratio_50/50-19-5,,db20,,Grid-50,77456
results/Grid/Ratio_50/50-18-9,,db20,,Grid-50,90816
results/Grid/Ratio_50/50-19-7,,sbk05,,Grid-50,60384
results/Grid/Ratio_50/50-18-1,,db20,,Grid-50,86044
results/Grid/Ratio_50/50-17-2,,cd05,,Grid-50,18616
results/Grid/Ratio_50/50-15-10,,db20,,Grid-50,83624
results/Grid/Ratio_50/50-16-6,,cd05,,Grid-50,18336
results/Grid/Ratio_50/50-18-10,,cd06,,Grid-50,19848
results/Grid/Ratio_50/50-18-4,,cd05,,Grid-50,19288
results/Grid/Ratio_50/50-15-7,,cd05,,Grid-50,25104
results/Grid/Ratio_50/50-16-8,,d02,,Grid-50,17952
results/Grid/Ratio_50/50-15-6,,db20,,Grid-50,83984
results/Grid/Ratio_50/50-14-7,,cd06,,Grid-50,29208
results/Grid/Ratio_50/50-10-5,,cd06,,Grid-50,70924
results/Grid/Ratio_50/50-15-4,,sbk05,,Grid-50,65984
results/Grid/Ratio_50/50-17-6,,db20,,Grid-50,78232
results/Grid/Ratio_50/50-17-2,,cd06,,Grid-50,18516
results/Grid/Ratio_50/50-17-8,,d02,,Grid-50,18848
results/Grid/Ratio_50/50-15-1,,cd06,,Grid-50,20796
results/Grid/Ratio_50/50-10-10,0.062,db20,0.914701,Grid-50,18644
results/Grid/Ratio_50/50-10-7,,cd06,,Grid-50,44628
results/Grid/Ratio_50/50-18-10,,cd05,,Grid-50,19728
results/Grid/Ratio_50/50-20-1,,d02,,Grid-50,19928
results/Grid/Ratio_50/50-14-2,,sbk05,,Grid-50,72256
results/Grid/Ratio_50/50-10-6,0.309,sbk05,0.506807,Grid-50,37648
results/Grid/Ratio_50/50-18-6,,db20,,Grid-50,82492
results/Grid/Ratio_50/50-16-2,,db20,,Grid-50,89096
results/Grid/Ratio_50/50-20-7,,cd05,,Grid-50,35576
results/Grid/Ratio_50/50-14-7,,cd05,,Grid-50,18148
results/Grid/Ratio_50/50-15-9,,d02,,Grid-50,17724
results/Grid/Ratio_50/50-14-10,,sbk05,,Grid-50,64768
results/Grid/Ratio_50/50-19-10,,db20,,Grid-50,85612
results/Grid/Ratio_50/50-20-5,,cd06,,Grid-50,35656
results/Grid/Ratio_50/50-17-7,,db20,,Grid-50,81176
results/Grid/Ratio_50/50-19-7,,d02,,Grid-50,19324
results/Grid/Ratio_50/50-17-9,,db20,,Grid-50,59996
